BOARD A3_LOWER,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,scheme,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias Scan,Top,2378,19394,37,7,0,100,0.46,-3,1,Good,,
1,Pedestal,Top,2379,-,37,7,0,100,0.46,-3,1,Good,,
1,Calibration,Top,2380,-,37,7,0,100,0.46,-3,1,Good,,
1,Bias Scan,Top,2381,19395,37,7,0,200,0.69,-3,1,Good,,
1,Pedestal,Top,2382,-,37,7,0,200,0.69,-3,1,Good,,
1,Calibration,Top,2383,-,37,7,0,200,0.69,-3,1,Good,,
1,Bias Scan,Top,2384,19396,37,7,0,300,0.86,-3,1,Good,,
1,Pedestal,Top,2385,-,37,7,0,300,0.86,-3,1,Good,,
1,Calibration,Top,2386,-,37,7,0,300,0.86,-3,1,Good,,
1,Bias Scan,Top,2387,19397,37,7,0,400,0.92,-3,1,Good,,
1,Pedestal,Top,2388,-,37,7,0,400,0.92,-3,1,Good,,
1,Calibration,Top,2389,-,37,7,0,400,0.92,-3,1,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias Scan,Top,2390,19398,43,7,0,100,0.46,-3,1,Bad,"wrong X pos, 37",
2,Pedestal,Top,2391,-,43,7,0,100,0.46,-3,1,Bad,"wrong X pos, 38",
2,Calibration,Top,2392,-,43,7,0,100,0.46,-3,1,Bad,"wrong X pos, 39",
2,Bias Scan,Top,2393,19399,43,7,0,100,0.46,-3,1,Good,,
2,Pedestal,Top,2394,-,43,7,0,100,0.46,-3,1,Good,,
2,Calibration,Top,2395,-,43,7,0,100,0.46,-3,1,Good,,
2,Bias Scan,Top,2396,19400,43,7,0,200,0.69,-3,1,Good,,
2,Pedestal,Top,2397,-,43,7,0,200,0.69,-3,1,Good,,
2,Calibration,Top,2398,-,43,7,0,200,0.69,-3,1,Good,,
2,Bias Scan,Top,2399,19401,43,7,0,300,0.86,-3,1,Good,,
2,Pedestal,Top,2400,-,43,7,0,300,0.86,-3,1,Good,,
2,Calibration,Top,2401,-,43,7,0,300,0.86,-3,1,Good,,
2,Bias Scan,Top,2402,19402,43,7,0,400,0.91,-3,1,Good,,
2,Pedestal,Top,2403,-,43,7,0,400,0.91,-3,1,Good,,
2,Calibration,Top,2404,-,43,7,0,400,0.91,-3,1,Good,,
